Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
1103,SUMMITSEC,Summit Securities Limited,59039
1104,SUKHJITS,Sukhjit Starch & Chemicals Limited,58817
1105,INDIANHUME,Indian Hume Pipe Company Limited,58791
1106,JUBLINDS,Jubilant Industries Limited,58468
1107,ASALCBR,Associated Alcohols & Breweries Ltd.,58342
1108,DECCANCE,Deccan Cements Limited,58257
1109,JAYBARMARU,Jay Bharat Maruti Limited,57567
1110,COOLCAPS,Cool Caps Industries Limited,57523
1111,APOLLO,Apollo Micro Systems Limited,57495
1112,ELDEHSG,Eldeco Housing And Industries Limited,57420
1113,HERCULES,Hercules Hoists Limited,57088
1114,4THDIM,Fourth Dimension Solutions Limited,56920
1115,KRITI,Kriti Industries (India) Limited,56424
1116,AGSTRA,AGS Transact Technologies Limited,56331
1117,NAHARPOLY,Nahar Poly Films Limited,56208
1118,MANINDS,Man Industries (India) Limited,55956
1119,ENIL,Entertainment Network (India) Limited,55679
1120,SYNCOMF,Syncom Formulations (India) Limited,55460
1121,KAMOPAINTS,Kamdhenu Ventures Limited,55218
1122,NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,55022
1123,SCPL,Sheetal Cool Products Limited,54994
1124,HPL,HPL Electric & Power Limited,54495
1125,INDOAMIN,Indo Amines Limited,54402
1126,DCMSRIND,DCM Shriram Industries Limited,54109
1127,MENONBE,Menon Bearings Limited,54051
1128,VASCONEQ,Vascon Engineers Limited,54003
1129,VLSFINANCE,VLS Finance Limited,53915
1130,BALAXI,BALAXI PHARMACEUTICALS LIMITED,53870
1131,ZEEMEDIA,Zee Media Corporation Limited,53787
1132,CREATIVE,Creative Newtech Limited,53676
1133,KRISHIVAL,Empyrean Cashews Limited,53615
1134,SNOWMAN,Snowman Logistics Limited,53468
1135,KOPRAN,Kopran Limited,53275
1136,SHREYAS,Shreyas Shipping & Logistics Limited,52555
1137,REFEX,Refex Industries Limited,52548
1138,KSOLVES,Ksolves India Limited,52433
1139,GFLLIMITED,GFL Limited,52289
1140,SPECTRUM,Spectrum Electrical Industries Limited,52163
1141,RUSHIL,Rushil Decor Limited,52115
1142,IRISDOREME,Iris Clothings Limited,51765
1143,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,51362
1144,SELMC,SEL Manufacturing Company Limited,51276
1145,BHAGERIA,Bhageria Industries Limited,51064
1146,ZUARI,Zuari Agro Chemicals Limited,50974
1147,TALBROAUTO,Talbros Automotive Components Limited,50512
1148,RUBYMILLS,The Ruby Mills Limited,50511
1149,OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,49508
1150,DPWIRES,D P Wires Limited,49313
1151,SMSPHARMA,SMS Pharmaceuticals Limited,49310
1152,DHARMAJ,Dharmaj Crop Guard Limited,48938
1153,RBL,Rane Brake Lining Limited,48745
1154,GOYALALUM,Goyal Aluminiums Limited,48700
1155,NRL,Nupur Recyclers Limited,48208
1156,MIRZAINT,Mirza International Limited,48163
1157,VIKASLIFE,Vikas Lifecare Limited,48105
1158,WINDLAS,Windlas Biotech Limited,47559
1159,HITECHGEAR,The Hi-Tech Gears Limited,47408
1160,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,46870
1161,SPENCERS,Spencer's Retail Limited,46692
1162,KANORICHEM,Kanoria Chemicals & Industries Limited,46555
1163,JPOLYINVST,Jindal Poly Investment and Finance Company Limited,46505
1164,ASAL,Automotive Stampings and Assemblies Limited,46499
1165,SILVERTUC,Silver Touch Technologies Limited,46343
1166,3IINFOLTD,3i Infotech Limited,46244
1167,MALLCOM,Mallcom (India) Limited,45795
1168,CREST,Crest Ventures Limited,45378
1169,REPRO,Repro India Limited,45370
1170,MARINE,Marine Electricals (India) Limited,45284
1171,KECL,Kirloskar Electric Company Limited,45261
1172,DENORA,De Nora India Limited,45211
1173,EXXARO,Exxaro Tiles Limited,45121
1174,MAGADSUGAR,Magadh Sugar & Energy Limited,44980
1175,ASIANTILES,Asian Granito India Limited,44424
1176,JAYAGROGN,Jayant Agro Organics Limited,44025
1177,DIGISPICE,DiGiSPICE Technologies Limited,43993
1178,BBTCL,B&B Triplewall Containers Limited,43935
1179,PREMEXPLN,Premier Explosives Limited,43477
1180,SWELECTES,Swelect Energy Systems Limited,43240
1181,KELLTONTEC,Kellton Tech Solutions Limited,42522
1182,MUTHOOTCAP,Muthoot Capital Services Limited,42336
1183,APCL,Anjani Portland Cement Limited,42182
1184,ASIANENE,Asian Energy Services Limited,42053
1185,DONEAR,Donear Industries Limited,41912
1186,ADSL,Allied Digital Services Limited,41616
1187,BANSWRAS,Banswara Syntex Limited,41472
1188,NAHARCAP,Nahar Capital and Financial Services Limited,41472
1189,ICEMAKE,Ice Make Refrigeration Limited,41374
1190,BAIDFIN,Baid Finserv Limited,41063
1191,STCINDIA,The State Trading Corporation of India Limited,41040
1192,TBZ,Tribhovandas Bhimji Zaveri Limited,40772
1193,SALZERELEC,Salzer Electronics Limited,40588
1194,IFBAGRO,IFB Agro Industries Limited,40335
1195,PTL,PTL Enterprises Limited,40309
1196,ARIHANTCAP,Arihant Capital Markets Limited,40240
1197,CSLFINANCE,CSL Finance Limited,40159
1198,JSLL,Jeena Sikho Lifecare Limited,40011
1199,UNIVPHOTO,Universus Photo Imagings Limited,39862
1200,HARDWYN,Hardwyn India Limited,39857
1201,DSSL,Dynacons Systems & Solutions Limited,39736
1202,REVATHI,Revathi Equipment Limited,39352
1203,HCL-INSYS,HCL Infosystems Limited,39341
1204,PLASTIBLEN,Plastiblends India Limited,39244
1205,UNIDT,United Drilling Tools Limited,39084
1206,CAREERP,Career Point Limited,39033
1207,ARROWGREEN,Arrow Greentech Limited,39010
1208,SREEL,Sreeleathers Limited,38924
1209,SBC,SBC Exports Limited,38836
1210,RADIOCITY,Music Broadcast Limited,38303
1211,SERVOTECH,Servotech Power Systems Limited,38278
1212,SAKAR,Sakar Healthcare Limited,38194
1213,BALAJITELE,Balaji Telefilms Limited,37519
1214,NXTDIGITAL,NXTDIGITAL LIMITED,37493
1215,GOACARBON,Goa Carbon Limited,37428
1216,BIRLACABLE,Birla Cable Limited,37380
1217,RITCO,Ritco Logistics Limited,37082
1218,SELAN,Selan Exploration Technology Limited,36997
1219,ASCOM,Ascom Leasing & Investments Limited,36900
1220,OSIAHYPER,Osia Hyper Retail Limited,36661
1221,HINDCOMPOS,Hindustan Composites Limited,36598
1222,DHANBANK,Dhanlaxmi Bank Limited,36560
1223,DYCL,Dynamic Cables Limited,36554
1224,DHUNINV,Dhunseri Investments Limited,36546
1225,EIFFL,Euro India Fresh Foods Limited,36382
1226,MUNJALAU,Munjal Auto Industries Limited,36300
1227,NAHARINDUS,Nahar Industrial Enterprises Limited,36051
1228,DELPHIFX,DELPHI WORLD MONEY LIMITED,36038
1229,URJA,Urja Global Limited,35994
1230,PRIMESECU,Prime Securities Limited,35852
1231,NECLIFE,Nectar Lifesciences Limited,35770
1232,NBIFIN,N. B. I. Industrial Finance Company Limited,35680
1233,GRPLTD,GRP Limited,35600
1234,MAWANASUG,Mawana Sugars Limited,35244
1235,ZIMLAB,Zim Laboratories Limited,35204
1236,PDMJEPAPER,Pudumjee Paper Products Limited,35084
1237,ONEPOINT,One Point One Solutions Limited,35073
1238,MAXIND,Max India Limited,35047
1239,SHYAMCENT,Shyam Century Ferrous Limited,35009
1240,VARDHACRLC,Vardhman Acrylics Limited,34958
1241,RADHIKAJWE,Radhika Jeweltech Limited,34940
1242,NPST,Network People Services Technologies Limited,34937
1243,THEINVEST,The Investment Trust Of India Limited,34924
1244,HTMEDIA,HT Media Limited,34796
1245,NRAIL,N R Agarwal Industries Limited,34702
1246,RCOM,Reliance Communications Limited,34569
1247,DICIND,DIC India Limited,34536
1248,OSWALAGRO,Oswal Agro Mills Limited,34498
1249,POCL,Pondy Oxides & Chemicals Limited,34479
1250,AARTISURF,Aarti Surfactants Limited,34411
1251,SKMEGGPROD,SKM Egg Products Export (India) Limited,34400
1252,SOLEX,Solex Energy Limited,34360
1253,DEEPENR,DEEP ENERGY RESOURCES LIMITED,34336
1254,FCSSOFT,FCS Software Solutions Limited,34191
1255,MUNJALSHOW,Munjal Showa Limited,34076
1256,KOTHARIPRO,Kothari Products Limited,34052
1257,PONNIERODE,Ponni Sugars (Erode) Limited,34033
1258,CHEMBOND,Chembond Chemicals Ltd,34017
1259,USASEEDS,Upsurge Seeds Of Agriculture Limited,33993
1260,KERNEX,Kernex Microsystems (India) Limited,33878
1261,RANASUG,Rana Sugars Limited,33785
1262,CUPID,Cupid Limited,33752
1263,BGRENERGY,BGR Energy Systems Limited,33699
1264,GENUSPAPER,Genus Paper & Boards Limited,33555
1265,GSS,GSS Infotech Limited,33552
1266,PENINLAND,Peninsula Land Limited,33365
1267,JYOTISTRUC,Jyoti Structures Limited,33313
1268,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,33301
1269,KAYA,Kaya Limited,33222
1270,KOTHARIPET,Kothari Petrochemicals Limited,33219
1271,LIBERTSHOE,Liberty Shoes Limited,33168
1272,KHADIM,Khadim India Limited,33145
1273,PPL,Prakash Pipes Limited,33139
1274,VIPCLOTHNG,VIP Clothing Limited,33121
1275,NDRAUTO,Ndr Auto Components Limited,32996
1276,PROZONINTU,Prozone Intu Properties Limited,32733
1277,INDOBORAX,Indo Borax & Chemicals Limited,32716
1278,CONSOFINVT,Consolidated Finvest & Holdings Limited,32682
1279,INDSWFTLAB,Ind-Swift Laboratories Limited,32616
1280,ZUARIIND,ZUARI INDUSTRIES LIMITED,32432
1281,GVKPIL,GVK Power & Infrastructure Limited,32362
1282,SBGLP,Suratwwala Business Group Limited,32099
1283,HIRECT,Hind Rectifiers Limited,32092
1284,CHEMFAB,Chemfab Alkalis Limited,32087
1285,GLOBAL,Global Education Limited,31640
1286,ANNAPURNA,Annapurna Swadisht Limited,31604
1287,INTLCONV,International Conveyors Limited,31464
1288,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,31374
1289,ORBTEXP,Orbit Exports Limited,31372
1290,SOUTHWEST,South West Pinnacle Exploration Limited,31167
1291,KAMATHOTEL,Kamat Hotels (I) Limited,31013
1292,RAJMET,Rajnandini Metal Limited,30966
1293,RAMAPHO,Rama Phosphates Limited,30910
1294,OMINFRAL,OM INFRA LIMITED,30865
1295,HMVL,Hindustan Media Ventures Limited,30832
1296,AYMSYNTEX,AYM Syntex Limited,30716
1297,MSPL,MSP Steel & Power Limited,30448
1298,WEALTH,Wealth First Portfolio Managers Limited,30335
1299,UNITECH,Unitech Limited,30087
1300,WEBELSOLAR,Websol Energy System Limited,29971
1301,NURECA,Nureca Limited,29956
1302,LYKALABS,Lyka Labs Limited,29938
1303,GKWLIMITED,GKW Limited,29785
1304,MHLXMIRU,Mahalaxmi Rubtech Limited,29710
1305,AURUM,Aurum PropTech Limited,29574
1306,SKYGOLD,Sky Gold Limited,29272
1307,ALBERTDAVD,Albert David Limited,29252
1308,SHIVAUM,Shiv Aum Steels Limited,29241
1309,PAVNAIND,Pavna Industries Limited,29203
1310,CINELINE,Cineline India Limited,29167
1311,KOTARISUG,Kothari Sugars And Chemicals Limited,28928
1312,SHEMAROO,Shemaroo Entertainment Limited,28908
1313,SILINV,SIL Investments Limited,28752
1314,SKP,SKP Bearing Industries Limited,28718
1315,MMP,MMP Industries Limited,28603
1316,EQUIPPP,Equippp Social Impact Technologies Limited,28506
1317,MANORG,Mangalam Organics Limited,28490
1318,CYBERTECH,Cybertech Systems And Software Limited,28359
1319,TRIGYN,Trigyn Technologies Limited,28292
1320,SINTERCOM,Sintercom India Limited,28161
1321,JINDALPHOT,Jindal Photo Limited,28005
1322,SARLAPOLY,Sarla Performance Fibers Limited,27890
1323,RUCHIRA,Ruchira Papers Limited,27845
1324,ESSENTIA,Integra Essentia Limited,27650
1325,MACPOWER,Macpower CNC Machines Limited,27591
1326,AUTOIND,Autoline Industries Limited,27527
1327,ORIENTABRA,Orient Abrasives Limited,27397
1328,APOLSINHOT,Apollo Sindoori Hotels Limited,27359
1329,DYNPRO,Dynemic Products Limited,27281
1330,CLEDUCATE,CL Educate Limited,27259
1331,PARSVNATH,Parsvnath Developers Limited,27199
1332,GSCLCEMENT,Gujarat Sidhee Cement Limited,27177
1333,MIRCELECTR,MIRC Electronics Limited,27137
1334,VISHWARAJ,Vishwaraj Sugar Industries Limited,27134
1335,HINDMOTORS,Hindustan Motors Limited,26917
1336,NINSYS,NINtec Systems Limited,26889
1337,NATHBIOGEN,Nath Bio-Genes (India) Limited,26843
1338,KNAGRI,KN Agri Resources Limited,26836
1339,GEECEE,GeeCee Ventures Limited,26725
1340,KCPSUGIND,KCP Sugar and Industries Corporation Limited,26702
1341,STEL,Stel Holdings Limited,26520
1342,PODDARMENT,Poddar Pigments Limited,26355
1343,KOTYARK,Kotyark Industries Limited,26351
1344,HITECHCORP,Hitech Corporation Limited,26339
1345,EUROBOND,Euro Panel Products Limited,26338
1346,MICEL,MIC Electronics Limited,26241
1347,ORICONENT,Oricon Enterprises Limited,26227
1348,20MICRONS,20 Microns Limited,26218
1349,MWL,Mangalam Worldwide Limited,26216
1350,MINDTECK,Mindteck (India) Limited,26149
1351,BMETRICS,Bombay Metrics Supply Chain Limited,26106
1352,GOKUL,Gokul Refoils and Solvent Limited,26036
1353,SECL,Salasar Exteriors and Contour Limited,25989
1354,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,25970
1355,WEL,Wonder Electricals Limited,25957
1356,SUPERHOUSE,Superhouse Limited,25947
1357,LOYALTEX,Loyal Textile Mills Limited,25922
1358,BPL,BPL Limited,25859
1359,BIRLAMONEY,Aditya Birla Money Limited,25714
1360,GPTINFRA,GPT Infraprojects Limited,25625
1361,E2E,E2E Networks Limited,25585
1362,SHIVAMAUTO,Shivam Autotech Limited,25544
1363,DCMNVL,DCM Nouvelle Limited,25215
1364,MAZDA,Mazda Limited,24821
1365,MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,24707
1366,WINDMACHIN,Windsor Machines Limited,24544
1367,BASML,Bannari Amman Spinning Mills Limited,24316
1368,WALCHANNAG,Walchandnagar Industries Limited,24223
1369,SEJALLTD,Sejal Glass Limited,24083
1370,UCALFUEL,Ucal Fuel Systems Limited,23993
1371,MAHEPC,Mahindra EPC Irrigation Limited,23983
1372,V2RETAIL,V2 Retail Limited,23969
1373,SAKUMA,Sakuma Exports Limited,23925
1374,VERTOZ,Vertoz Advertising Limited,23910
1375,KMSUGAR,K.M.Sugar Mills Limited,23874
1376,ASHIMASYN,Ashima Limited,23862
1377,UFO,UFO Moviez India Limited,23841
1378,VIKASECO,Vikas EcoTech Limited,23714
1379,SAKHTISUG,Sakthi Sugars Limited,23710
1380,MAHESHWARI,Maheshwari Logistics Limited,23574
1381,MAANALU,Maan Aluminium Limited,23540
1382,HUBTOWN,Hubtown Limited,23511
1383,REPL,Rudrabhishek Enterprises Limited,23412
1384,QMSMEDI,QMS Medical Allied Services Limited,23330
1385,MANAKSTEEL,Manaksia Steels Limited,23265
1386,EMAMIREAL,Emami Realty Limited,23236
1387,GENCON,Generic Engineering Construction and Projects Limited,23177
1388,STARPAPER,Star Paper Mills Limited,22843
1389,GUJAPOLLO,Gujarat Apollo Industries Limited,22745
1390,JAYSREETEA,Jayshree Tea & Industries Limited,22712
1391,NDL,Nandan Denim Limited,22631
1392,BCONCEPTS,Brand Concepts Limited,22525
1393,GIRRESORTS,GIR Natureview Resorts Limited,22472
1394,SMLT,Sarthak Metals Limited,22451
1395,TPLPLASTEH,TPL Plastech Limited,22309
1396,TEMBO,Tembo Global Industries Limited,22224
1397,DANGEE,Dangee Dums Limited,22095
1398,NIPPOBATRY,Indo-National Limited,22069
1399,ASIANHOTNR,Asian Hotels (North) Limited,22041
1400,BRNL,Bharat Road Network Limited,22037
1401,PPAP,PPAP Automotive Limited,21980
1402,PASUPTAC,Pasupati Acrylon Limited,21882
1403,FROG,Frog Cellsat Limited,21810
1404,ASAHISONG,Asahi Songwon Colors Limited,21801
1405,PRECOT,Precot Limited,21792
1406,MEP,MEP Infrastructure Developers Limited,21738
1407,VENUSREM,Venus Remedies Limited,21715
1408,KILITCH,Kilitch Drugs (India) Limited,21691
1409,BTML,Bodhi Tree Multimedia Limited,21618
1410,MEGASTAR,Megastar Foods Limited,21508
1411,DRCSYSTEMS,DRC Systems India Limited,21446
1412,ZODIACLOTH,Zodiac Clothing Company Limited,21276
1413,HILTON,Hilton Metal Forging Limited,20979
1414,INDOTHAI,Indo Thai Securities Limited,20855
1415,JITFINFRA,JITF Infralogistics Limited,20846
1416,EROSMEDIA,Eros International Media Limited,20765
1417,DEVIT,Dev Information Technology Limited,20725
1418,BIL,Bhartiya International Limited,20703
1419,EIMCOELECO,Eimco Elecon (India) Limited,20547
1420,ANMOL,Anmol India Limited,20512
1421,COASTCORP,Coastal Corporation Limited,20384
1422,RAJTV,Raj Television Network Limited,20376
1423,KORE,Jay Jalaram Technologies Limited,20357
1424,RELCAPITAL,Reliance Capital Limited,20217
1425,MGEL,Mangalam Global Enterprise Limited,20091
1426,FOCE,Foce India Limited,20061
1427,INDTERRAIN,Indian Terrain Fashions Limited,19976
1428,TAKE,Take Solutions Limited,19971
1429,TOTAL,Total Transport Systems Limited,19957
1430,ACCURACY,Accuracy Shipping Limited,19949
1431,AVG,AVG Logistics Limited,19894
1432,HARRMALAYA,Harrisons  Malayalam Limited,19784
1433,SHREYANIND,Shreyans Industries Limited,19742
1434,LOKESHMACH,Lokesh Machines Limited,19686
1435,LGBFORGE,LGB Forge Limited,19652
1436,SYSTANGO,Systango Technologies Limited,19480
1437,SIGMA,Sigma Solve Limited,19440
1438,MARALOVER,Maral Overseas Limited,19426
1439,ABAN,Aban Offshore Limited,19406
1440,BAFNAPH,Bafna Pharmaceuticals Limited,19398
1441,BEDMUTHA,Bedmutha Industries Limited,19391
1442,SIMPLEXINF,Simplex Infrastructures Limited,19314
1443,ARIES,Aries Agro Limited,19305
1444,DTIL,Dhunseri Tea & Industries Limited,19087
1445,KRITINUT,Kriti Nutrients Limited,19039
1446,IVC,IL&FS Investment Managers Limited,18528
1447,IITL,Industrial Investment Trust Limited,18433
1448,SWASTIK,Swastik Pipe Limited,18423
1449,AARON,Aaron Industries Limited,18416
1450,VITAL,Vital Chemtech Limited,18406
1451,BEWLTD,BEW Engineering Limited,18340
1452,NILAINFRA,Nila Infrastructures Limited,18316
1453,INDOTECH,Indo Tech Transformers Limited,18261
1454,PVP,PVP Ventures Limited,18134
1455,AHLEAST,Asian Hotels (East) Limited,18035
1456,SAH,Sah Polymers Limited,18019
1457,TIPSFILMS,Tips Films Limited,17951
1458,PHANTOMFX,Phantom Digital Effects Limited,17821
1459,DUCOL,Ducol Organics And Colours Limited,17732
1460,KANPRPLA,Kanpur Plastipack Limited,17690
1461,VINNY,Vinny Overseas Limited,17679
1462,MCLEODRUSS,Mcleod Russel India Limited,17653
1463,TRF,TRF Limited,17624
1464,ALLETEC,All E Technologies Limited,17599
1465,MANOMAY,Manomay Tex India Limited,17591
1466,INSPIRISYS,Inspirisys Solutions Limited,17511
1467,AIRAN,Airan Limited,17378
1468,MODISONLTD,MODISON LIMITED,17345
1469,MURUDCERA,Murudeshwar Ceramics Limited,17309
1470,TIRUPATI,Shree Tirupati Balajee FIBC Limited,17267
1471,PAR,Par Drugs And Chemicals Limited,17226
1472,SGIL,Synergy Green Industries Limited,16977
1473,SPLIL,SPL Industries Limited,16965
1474,GEEKAYWIRE,Geekay Wires Limited,16838
1475,PALREDTEC,Palred Technologies Limited,16728
1476,ESSARSHPNG,Essar Shipping Limited,16558
1477,SIL,Standard Industries Limited,16533
1478,PRITI,Priti International Limited,16528
1479,AKSHARCHEM,AksharChem India Limited,16472
1480,RAMANEWS,Shree Rama Newsprint Limited,16449
1481,RUCHINFRA,Ruchi Infrastructure Limited,16419
1482,ALANKIT,Alankit Limited,16393
1483,MEGASOFT,Megasoft Limited,16303
1484,IZMO,IZMO Limited,16237
1485,GULFPETRO,GP Petroleums Limited,16188
1486,TOUCHWOOD,Touchwood Entertainment Limited,16153
1487,SARVESHWAR,Sarveshwar Foods Limited,16128
1488,TARMAT,Tarmat Limited,16082
1489,RPPL,Rajshree Polypack Limited,16080
1490,IEL,Indiabulls Enterprises Limited,15966
1491,BHARATGEAR,Bharat Gears Limited,15885
1492,GOLDTECH,Goldstone Technologies Limited,15856
1493,MBLINFRA,MBL Infrastructure Limited,15766
1494,PROPEQUITY,P. E. Analytics Limited,15760
1495,EMKAY,Emkay Global Financial Services Limited,15745
1496,IL&FSENGG,IL&FS Engineering and Construction Company Limited,15735
1497,BSL,BSL Limited,15726
1498,UNITEDPOLY,United Polyfab Gujarat Limited,15703
1499,PASHUPATI,Pashupati Cotspin Limited,15605
1500,SHIVATEX,Shiva Texyarn Limited,15536
1501,MANGALAM,Mangalam Drugs And Organics Limited,15512
1502,KRISHNADEF,Krishna Defence and Allied Industries Limited,15478
1503,PREMIERPOL,Premier Polyfilm Limited,15429
1504,SMSLIFE,SMS Lifesciences India Limited,15420
1505,GOLDSTAR,Goldstar Power Limited,15405
1506,BROOKS,Brooks Laboratories Limited,15402
1507,VAISHALI,Vaishali Pharma Limited,15387
1508,ALMONDZ,Almondz Global Securities Limited,15376
1509,3RDROCK,3rd Rock Multimedia Limited,15316
1510,PRESSMN,Pressman Advertising Limited,15299
1511,AARVI,Aarvi Encon Limited,15272
1512,AKSHAR,Akshar Spintex Limited,15249
1513,LATTEYS,Latteys Industries Limited,15236
1514,VISESHINFO,Visesh Infotecnics Limited,15098
1515,BHAGYANGR,Bhagyanagar India Limited,15038
1516,TTL,T T Limited,14984
1517,SADBHAV,Sadbhav Engineering Limited,14841
1518,COMPUSOFT,Compucom Software Limited,14796
1519,KAKATCEM,Kakatiya Cement Sugar & Industries Limited,14794
1520,RPPINFRA,R.P.P. Infra Projects Limited,14790
1521,SVLL,Shree Vasu Logistics Limited,14780
1522,SMARTLINK,Smartlink Holdings Limited,14763
1523,ASPINWALL,Aspinwall and Company Limited,14761
1524,LAMBODHARA,Lambodhara Textiles Limited,14684
1525,DJML,DJ Mediaprint & Logistics Limited,14683
1526,TIL,TIL Limited,14649
1527,ELGIRUBCO,Elgi Rubber Company Limited,14640
1528,JAINAM,Jainam Ferro Alloys (I) Limited,14585
1529,WORTH,Worth Peripherals Limited,14491
1530,ISFT,Intrasoft Technologies Limited,14481
1531,GINNIFILA,Ginni Filaments Limited,14475
1532,PILITA,PIL ITALICA LIFESTYLE LIMITED,14453
1533,SOFTTECH,Softtech Engineers Limited,14437
1534,DUCON,Ducon Infratechnologies Limited,14427
1535,VETO,Veto Switchgears And Cables Limited,14374
1536,RANEENGINE,Rane Engine Valve Limited,14267
1537,AVONMORE,Avonmore Capital & Management Services Limited,14222
1538,KBCGLOBAL,KBC Global Limited,14145
1539,PANSARI,Pansari Developers Limited,14071
1540,MODIRUBBER,Modi Rubber Limited,14060
1541,INVENTURE,Inventure Growth & Securities Limited,13860
1542,KAPSTON,Kapston Services Limited,13831
1543,AKSHOPTFBR,Aksh Optifibre Limited,13748
1544,JMA,Jullundur Motor Agency (Delhi) Limited,13739
1545,EMMBI,Emmbi Industries Limited,13736
1546,NITCO,Nitco Limited,13725
1547,IRIS,Iris Business Services Limited,13669
1548,SHERA,Shera Energy Limited,13559
1549,DRSDILIP,DRS Dilip Roadlines Limited,13549
1550,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,13476
1551,JOCIL,Jocil Limited,13455
1552,MANAKALUCO,Manaksia Aluminium Company Limited,13369
1553,VIPULLTD,Vipul Limited,13258
1554,SIKKO,Sikko Industries Limited,13255
1555,GILLANDERS,Gillanders Arbuthnot & Company Limited,13158
1556,SVPGLOB,SVP GLOBAL TEXTILES LIMITED,13093
1557,VISASTEEL,Visa Steel Limited,13084
1558,DCM,DCM  Limited,13084
1559,INTENTECH,Intense Technologies Limited,12991
1560,TEXMOPIPES,Texmo Pipes and Products Limited,12977
1561,WEIZMANIND,Weizmann Limited,12957
1562,BYKE,The Byke Hospitality Ltd,12952
1563,RAJSREESUG,Rajshree Sugars & Chemicals Limited,12923
1564,ZODIAC,Zodiac Energy Limited,12914
1565,ARSHIYA,Arshiya Limited,12910
1566,UMANGDAIRY,Umang Dairies Limited,12905
1567,LOVABLE,Lovable Lingerie Limited,12898
1568,HOMESFY,Homesfy Realty Limited,12801
1569,ALPHAGEO,Alphageo (India) Limited,12745
1570,NDGL,Naga Dhunseri Group Limited,12715
1571,PRAXIS,Praxis Home Retail Limited,12713
1572,ARTNIRMAN,Art Nirman Limited,12653
1573,SHIGAN,Shigan Quantum Technologies Limited,12575
1574,NOIDATOLL,Noida Toll Bridge Company Limited,12568
1575,UMAEXPORTS,Uma Exports Limited,12543
1576,VELS,Vels Film International Limited,12521
1577,ATLANTA,Atlanta  Limited,12510
1578,MOTOGENFIN,The Motor & General Finance Limited,12509
1579,AVROIND,AVRO INDIA LIMITED,12493
1580,SALONA,Salona Cotspin Limited,12464
1581,INDIANCARD,Indian Card Clothing Company Limited,12459
1582,SPTL,Sintex Plastics Technology Limited,12405
1583,PRITIKAUTO,Pritika Auto Industries Limited,12370
1584,URAVI,Uravi T and Wedge Lamps Limited,12359
1585,IVP,IVP Limited,12293
1586,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,12282
1587,SOMATEX,Soma Textiles & Industries Limited,12255
1588,LEXUS,Lexus Granito (India) Limited,12215
1589,WANBURY,Wanbury Limited,12199
1590,LOTUSEYE,Lotus Eye Hospital and Institute Limited,12187
1591,KREBSBIO,Krebs Biochemicals and Industries Limited,12182
1592,RNAVAL,Reliance Naval and Engineering Limited,12170
1593,WSI,W S Industries (I) Limited,12125
1594,RHFL,Reliance Home Finance Limited,12114
1595,HDIL,Housing Development and Infrastructure Limited,12087
1596,DCI,Dc Infotech And Communication Limited,12048
1597,RVHL,Ravinder Heights Limited,12036
1598,XELPMOC,Xelpmoc Design And Tech Limited,11906
1599,RKEC,RKEC Projects Limited,11875
1600,RELCHEMQ,Reliance Chemotex Industries Limited,11870
1601,DIL,Debock Industries Limited,11848
1602,ATALREAL,Atal Realtech Limited,11782
1603,KOHINOOR,Kohinoor Foods Limited,11696
1604,SALSTEEL,S.A.L. Steel Limited,11640
1605,A2ZINFRA,A2Z Infra Engineering Limited,11624
1606,TARACHAND,Tara Chand InfraLogistic Solutions Limited,11598
1607,INDOWIND,Indowind Energy Limited,11559
1608,BLBLIMITED,BLB Limited,11498
1609,FRETAIL,Future Retail Limited,11388
1610,ROML,Raj Oil Mills Limited,11361
1611,SURANAT&P,Surana Telecom and Power Limited,11336
1612,ALPA,Alpa Laboratories Limited,11320
1613,SUNDRMBRAK,Sundaram Brake Linings Limited,11143
1614,PARIN,Parin Furniture Limited,11057
1615,NILASPACES,Nila Spaces Limited,11029
1616,AHLADA,Ahlada Engineers Limited,10970
1617,MAGNUM,Magnum Ventures Limited,10942
1618,REMSONSIND,Remsons Industries Limited,10918
1619,STARTECK,Starteck Finance Limited,10882
1620,BOHRAIND,Bohra Industries Limited,10866
1621,COMPINFO,Compuage Infocom Limited,10850
1622,CORALFINAC,Coral India Finance & Housing Limited,10801
1623,MRO-TEK,MRO-TEK Realty Limited,10706
1624,SECURKLOUD,SECUREKLOUD TECHNOLOGIES LIMITED,10641
1625,ZEELEARN,Zee Learn Limited,10598
1626,SADBHIN,Sadbhav Infrastructure Project Limited,10567
1627,BALPHARMA,Bal Pharma Limited,10520
1628,NIRAJ,Niraj Cement Structurals Limited,10400
1629,GSTL,Globesecure Technologies Limited,10365
1630,OBCL,Orissa Bengal Carrier Limited,10299
1631,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,10169
